1	1	1
1	1	3
1	1	5
1	3	1
1	3	2
1	3	3
1	3	4
1	3	5
1	5	1
1	5	2
1	5	3
1	5	4
1	5	5
1	357	2
1	357	3
1	357	4
1	357	5
1	359	2
1	359	3
1	359	4
1	359	5
5	1	1
5	1	3
5	1	5
5	2	2
5	2	3
5	2	4
5	2	5
5	3	1
5	3	2
5	3	3
5	3	4
5	3	5
5	4	2
5	4	3
5	4	4
5	4	5
5	5	1
5	5	2
5	5	3
5	5	4
5	5	5
5	357	2
5	357	3
5	357	4
5	357	5
5	358	2
5	358	3
5	358	4
5	358	5
5	359	2
5	359	3
5	359	4
5	359	5
5	360	2
5	360	3
5	360	4
5	360	5
357	1	3
357	1	5
357	2	2
357	2	3
357	2	4
357	2	5
357	3	1
357	3	2
357	3	3
357	3	4
357	3	5
357	4	2
357	4	3
357	4	4
357	4	5
357	5	1
357	5	2
357	5	3
357	5	4
357	5	5
357	357	2
357	357	3
357	357	4
357	357	5
357	358	2
357	358	3
357	358	4
357	358	5
357	359	2
357	359	3
357	359	4
357	359	5
357	360	2
357	360	3
357	360	4
357	360	5
